run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_cross_gte,clean,qar,cross_gte,cross,0.8438,0.6618,0.9819,0.3563,0.4203,0.7114,1.0930,9.5702,0.7533,0.6798,0.9270,0.4101,0.4045,0.7022,1.4382,11.9195,0.7680,,0.5
clean_qar_cross_mbert,clean,qar,cross_mbert,cross,0.4150,0.3986,0.7572,0.8659,0.1449,0.3684,2.3539,21.3228,0.4363,0.4213,0.7528,0.8427,0.1517,0.3652,2.3933,21.6921,0.4002,,0.6
clean_qar_cross_xlmr,clean,qar,cross_xlmr,cross,0.7606,0.6087,0.9312,0.4662,0.3321,0.6268,1.5338,12.7338,0.6867,0.6236,0.8876,0.5112,0.4213,0.6573,1.6180,12.7013,0.7116,,0.5
clean_qar_dual_gte,clean,qar,dual_gte,dual,0.8503,0.6486,0.9758,0.3756,0.4300,0.7367,1.0423,8.9714,0.7697,0.7135,0.9101,0.3933,0.4607,0.7135,1.2584,10.3137,0.7780,,0.5
clean_qar_dual_mbert,clean,qar,dual_mbert,dual,0.5959,0.4746,0.8635,0.6896,0.2017,0.5435,1.9432,17.2819,0.6179,0.5281,0.8652,0.6404,0.1798,0.5674,1.9719,17.2271,0.5828,,0.6
clean_qar_dual_xlmr,clean,qar,dual_xlmr,dual,0.7858,0.5857,0.9638,0.4517,0.3889,0.7101,1.1848,10.1029,0.7000,0.5674,0.9270,0.5225,0.3989,0.6910,1.4382,11.3717,0.7621,,0.5
clean_ra_cross_gte,clean,ra,cross_gte,cross,0.8505,0.6957,0.9831,0.3213,0.5531,0.8140,0.7681,6.8158,0.7614,0.6854,0.9326,0.3933,0.4775,0.7697,1.1348,9.1854,0.7598,,0.7
clean_ra_cross_mbert,clean,ra,cross_mbert,cross,0.5561,0.4300,0.8611,0.7379,0.2814,0.5471,1.8973,16.3890,0.5363,0.4494,0.8202,0.7640,0.2584,0.5618,1.9663,16.6867,0.5977,,0.6
clean_ra_cross_xlmr,clean,ra,cross_xlmr,cross,0.7424,0.5628,0.9481,0.4988,0.3792,0.6896,1.3140,11.3228,0.7326,0.6124,0.9213,0.4775,0.4607,0.7472,1.3258,10.6882,0.7211,,0.5
clean_ra_dual_gte,clean,ra,dual_gte,dual,0.8506,0.7077,0.9698,0.3225,0.4227,0.7585,1.0097,8.7713,0.7612,0.7191,0.9326,0.3708,0.4607,0.7416,1.2135,9.8221,0.7914,,0.7
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.5875,0.4903,0.8394,0.6860,0.2089,0.5471,1.9167,16.9084,0.6332,0.5449,0.8539,0.6180,0.1966,0.5955,1.9382,16.7683,0.5804,,0.5
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8077,0.5773,0.9601,0.4662,0.4046,0.7053,1.1667,9.9728,0.7393,0.5843,0.9213,0.5112,0.4101,0.6742,1.4551,11.5824,0.7401,,0.5
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.6828,0.5326,0.9372,0.5399,0.2742,0.5797,1.6341,14.4810,0.6577,0.5674,0.9157,0.5281,0.3596,0.5787,1.6348,13.5721,0.6644,,0.4
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.7714,0.5821,0.9493,0.4722,0.4215,0.6751,1.2826,10.8286,0.6580,0.5843,0.8820,0.5618,0.3989,0.6573,1.6067,12.9073,0.6466,,0.5
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.7955,0.6377,0.9650,0.4010,0.4215,0.6969,1.1969,10.2466,0.6952,0.6348,0.8989,0.4831,0.4438,0.6798,1.5393,12.3549,0.7152,,0.7
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.8482,0.7041,0.9758,0.3213,0.4662,0.7621,0.9481,8.2579,0.7673,0.7135,0.9326,0.3708,0.4663,0.7303,1.2247,9.9251,0.7888,,0.7
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.7551,0.6135,0.9336,0.4565,0.3647,0.6486,1.3659,11.8309,0.6775,0.6461,0.8933,0.4831,0.3820,0.6798,1.5955,12.8371,0.6737,,0.5
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.7567,0.5386,0.9444,0.5254,0.3092,0.6304,1.4529,12.6261,0.7216,0.5674,0.9213,0.5281,0.3427,0.6180,1.6292,13.0946,0.7339,,0.5
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8016,0.6606,0.9686,0.3732,0.4444,0.7355,1.0640,9.0541,0.7086,0.6573,0.9157,0.4382,0.4326,0.7472,1.3146,10.5103,0.7331,,0.7
