run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_dual_mbert,raw,ra,dual_mbert,dual,0.7745,0.6232,0.9614,0.4191,0.4118,0.6763,1.2222,10.5860,0.6942,0.6067,0.9101,0.4944,0.3708,0.7022,1.5843,12.9354,0.6875,17,237.1
raw_ra_dual_xlmr,raw,ra,dual_xlmr,dual,0.7406,0.6002,0.9420,0.4589,0.3563,0.6498,1.4046,11.8632,0.6722,0.6180,0.9157,0.4831,0.3708,0.6573,1.6236,12.7669,0.6820,8,148.0
raw_ra_dual_gte,raw,ra,dual_gte,dual,0.8391,0.6836,0.9710,0.3454,0.4010,0.7536,1.0459,9.0772,0.7645,0.6910,0.9382,0.3876,0.4382,0.7135,1.2865,10.4682,0.7637,7,160.4
raw_ra_cross_mbert,raw,ra,cross_mbert,cross,0.7503,0.6002,0.9493,0.4529,0.4215,0.6848,1.2790,10.8236,0.6761,0.6685,0.8876,0.4607,0.4045,0.6966,1.5618,12.5234,0.6162,13,124.8
raw_ra_cross_xlmr,raw,ra,cross_xlmr,cross,0.8297,0.7029,0.9662,0.3333,0.4976,0.7512,0.9698,8.4291,0.7682,0.7472,0.9157,0.3483,0.5562,0.7416,1.1517,9.3118,0.7401,16,167.0
raw_ra_cross_gte,raw,ra,cross_gte,cross,0.8156,0.6896,0.9614,0.3502,0.4444,0.7355,1.0640,9.0541,0.7573,0.7079,0.9326,0.3764,0.4326,0.7472,1.3146,10.5103,0.7007,10,130.7
raw_qar_dual_mbert,raw,qar,dual_mbert,dual,0.7481,0.6244,0.9384,0.4408,0.3647,0.6486,1.3659,11.8309,0.6635,0.6404,0.8989,0.4831,0.3820,0.6798,1.5955,12.8371,0.6535,11,173.3
raw_qar_dual_xlmr,raw,qar,dual_xlmr,dual,0.7627,0.6014,0.9517,0.4469,0.3092,0.6304,1.4529,12.6261,0.7244,0.6629,0.9213,0.4270,0.3427,0.6180,1.6292,13.0946,0.7016,9,158.4
raw_qar_dual_gte,raw,qar,dual_gte,dual,0.8549,0.7234,0.9746,0.3019,0.4662,0.7621,0.9481,8.2579,0.7645,0.7022,0.9382,0.3764,0.4663,0.7303,1.2247,9.9251,0.7741,10,198.7
raw_qar_cross_mbert,raw,qar,cross_mbert,cross,0.7685,0.6401,0.9493,0.4130,0.4215,0.6751,1.2826,10.8286,0.6609,0.6573,0.8876,0.4775,0.3989,0.6573,1.6067,12.9073,0.6279,16,144.2
raw_qar_cross_xlmr,raw,qar,cross_xlmr,cross,0.7924,0.6606,0.9541,0.3865,0.4215,0.6969,1.1969,10.2466,0.6835,0.6629,0.8933,0.4607,0.4438,0.6798,1.5393,12.3549,0.6919,12,125.1
raw_qar_cross_gte,raw,qar,cross_gte,cross,0.6563,0.5097,0.9408,0.5580,0.2742,0.5797,1.6341,14.4810,0.6449,0.5618,0.9101,0.5337,0.3596,0.5787,1.6348,13.5721,0.6417,4,74.7
clean_ra_dual_mbert,clean,ra,dual_mbert,dual,0.5506,0.4481,0.9022,0.6594,0.2089,0.5471,1.9167,16.9084,0.5518,0.4775,0.8933,0.6404,0.1966,0.5955,1.9382,16.7683,0.4672,7,130.0
clean_ra_dual_xlmr,clean,ra,dual_xlmr,dual,0.8111,0.6606,0.9650,0.3756,0.4046,0.7053,1.1667,9.9728,0.7354,0.6742,0.9213,0.4157,0.4101,0.6742,1.4551,11.5824,0.7107,15,218.6
