run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_tfidf_cos,raw,ra,tfidf_cos,classical,0.4695,0.3978,0.7296,0.9450,0.3208,0.4701,2.6840,23.0361,0.4923,0.4234,0.7664,0.8759,0.3212,0.4891,2.4745,21.0158,0.5007,,2.9
raw_ra_tfidf_svr,raw,ra,tfidf_svr,classical,0.9115,0.7893,0.9937,0.2170,0.2437,0.8412,0.9497,8.8398,0.8109,0.6569,0.9635,0.3796,0.1752,0.6715,1.5255,13.4950,0.8247,,102.6
raw_qar_tfidf_cos,raw,qar,tfidf_cos,classical,0.4334,0.3428,0.7327,0.9874,0.1588,0.4528,2.7704,24.3969,0.4442,0.3285,0.7664,0.9562,0.1533,0.4745,2.5912,22.7590,0.4543,,3.5
raw_qar_tfidf_svr,raw,qar,tfidf_svr,classical,0.9086,0.7909,0.9906,0.2186,0.2469,0.8396,0.9607,9.1229,0.8068,0.6642,0.9562,0.3796,0.2190,0.6934,1.4453,12.6130,0.8445,,103.6
clean_ra_tfidf_cos,clean,ra,tfidf_cos,classical,0.4903,0.4481,0.7484,0.8821,0.3302,0.5031,2.6101,22.1726,0.5216,0.4526,0.8029,0.8175,0.3139,0.5182,2.4380,20.4562,0.5005,,3.8
clean_ra_tfidf_svr,clean,ra,tfidf_svr,classical,0.9134,0.7940,0.9937,0.2123,0.2516,0.8302,0.9513,8.7468,0.8165,0.6642,0.9635,0.3723,0.2263,0.6642,1.4818,12.6434,0.8291,,91.5
clean_qar_tfidf_cos,clean,qar,tfidf_cos,classical,0.4487,0.3585,0.7720,0.9308,0.1855,0.5016,2.6462,23.0984,0.4573,0.3212,0.8029,0.9270,0.1752,0.4964,2.5036,21.8465,0.4469,,2.5
clean_qar_tfidf_svr,clean,qar,tfidf_svr,classical,0.9119,0.7987,0.9906,0.2107,0.2123,0.8475,0.9890,9.6313,0.8017,0.6496,0.9562,0.3942,0.1679,0.7080,1.4891,13.3855,0.8461,,73.6
segment_ra_tfidf_cos,segment,ra,tfidf_cos,classical,0.5064,0.4340,0.7862,0.8333,0.3522,0.5079,2.3664,19.9659,0.5329,0.4745,0.8175,0.7664,0.3212,0.5328,2.2482,18.8139,0.5459,,20.5
segment_ra_tfidf_svr,segment,ra,tfidf_svr,classical,0.9102,0.7893,0.9921,0.2186,0.2500,0.8569,0.9387,8.9211,0.7815,0.6277,0.9635,0.4161,0.1752,0.7080,1.4964,13.1726,0.8452,,74.9
segment_qar_tfidf_cos,segment,qar,tfidf_cos,classical,0.4600,0.3648,0.7846,0.8852,0.2060,0.4921,2.4387,21.1248,0.4523,0.3358,0.8248,0.8905,0.1606,0.5109,2.3723,20.6361,0.4673,,8.9
segment_qar_tfidf_svr,segment,qar,tfidf_svr,classical,0.9080,0.7925,0.9890,0.2186,0.2390,0.8491,0.9701,9.3389,0.7866,0.6496,0.9562,0.4015,0.1971,0.7226,1.4380,12.7868,0.8470,,59.2
