run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
raw_ra_bilstm_maxfeat,raw,ra,bilstm_maxfeat,bilstm_maxfeat,0.7843,0.6510,0.9529,0.3986,0.4118,0.6848,1.2379,10.4673,0.7521,0.6798,0.9213,0.4045,0.4382,0.7247,1.3989,10.9504,0.6682,12,23.4
raw_qar_bilstm_maxfeat,raw,qar,bilstm_maxfeat,bilstm_maxfeat,0.6165,0.4855,0.9287,0.5978,0.3068,0.5483,1.7415,14.7668,0.6185,0.6067,0.9045,0.5169,0.3989,0.6011,1.6798,13.5393,0.5993,7,14.6
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8395,0.7126,0.9638,0.3237,0.4710,0.7500,0.9867,8.4853,0.7129,0.6348,0.9045,0.4719,0.4382,0.7135,1.4270,11.5543,0.6528,20,26.5
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7865,0.6341,0.9529,0.4130,0.3225,0.6800,1.2669,10.8192,0.7244,0.6517,0.9157,0.4382,0.3539,0.6685,1.5056,12.1723,0.6911,20,26.7
segment_ra_bilstm_maxfeat,segment,ra,bilstm_maxfeat,bilstm_maxfeat,0.8118,0.6691,0.9589,0.3732,0.3756,0.6896,1.2089,10.2650,0.7138,0.6292,0.9157,0.4719,0.4270,0.6629,1.5562,11.9663,0.6711,20,38.8
segment_qar_bilstm_maxfeat,segment,qar,bilstm_maxfeat,bilstm_maxfeat,0.7398,0.6087,0.9457,0.4505,0.3720,0.6449,1.3732,11.5210,0.6478,0.6236,0.9157,0.4888,0.4326,0.6685,1.5281,12.0318,0.6380,15,37.8
raw_ra_dual_mbert_maxfeat,raw,ra,dual_mbert_maxfeat,dual_maxfeat,0.7537,0.5761,0.9565,0.4686,0.3659,0.6606,1.3152,11.2782,0.6557,0.5674,0.8989,0.5449,0.3483,0.6404,1.6966,13.3474,0.6857,14,206.8
raw_ra_dual_xlmr_maxfeat,raw,ra,dual_xlmr_maxfeat,dual_maxfeat,0.7828,0.6594,0.9432,0.3998,0.4179,0.6969,1.2114,10.3443,0.7449,0.6910,0.9213,0.3989,0.4157,0.7135,1.3933,11.0768,0.6846,13,200.0
raw_ra_dual_gte_maxfeat,raw,ra,dual_gte_maxfeat,dual_maxfeat,0.8535,0.7065,0.9783,0.3164,0.4589,0.7693,0.9372,8.1019,0.7760,0.7022,0.9382,0.3708,0.4326,0.7472,1.2022,9.7940,0.7665,8,170.3
raw_ra_cross_mbert_maxfeat,raw,ra,cross_mbert_maxfeat,cross_maxfeat,0.7106,0.5942,0.9336,0.4771,0.3829,0.6413,1.3937,11.8713,0.6682,0.6348,0.9157,0.4719,0.3989,0.6348,1.5674,12.7154,0.6334,9,92.6
raw_ra_cross_xlmr_maxfeat,raw,ra,cross_xlmr_maxfeat,cross_maxfeat,0.7774,0.6558,0.9505,0.3998,0.4324,0.6896,1.2464,10.5676,0.7495,0.7135,0.9101,0.3876,0.4213,0.7135,1.3596,11.0955,0.7389,9,105.0
raw_ra_cross_gte_maxfeat,raw,ra,cross_gte_maxfeat,cross_maxfeat,0.8274,0.7077,0.9614,0.3309,0.4432,0.7234,1.0785,9.1054,0.7684,0.7303,0.9270,0.3539,0.4494,0.7303,1.2921,10.2669,0.7025,10,125.7
raw_qar_dual_mbert_maxfeat,raw,qar,dual_mbert_maxfeat,dual_maxfeat,0.7498,0.5773,0.9565,0.4686,0.4287,0.6655,1.2319,10.5206,0.6354,0.5899,0.8876,0.5449,0.4213,0.6685,1.6011,12.8745,0.6766,18,231.1
raw_qar_dual_xlmr_maxfeat,raw,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8185,0.6655,0.9614,0.3744,0.4094,0.7089,1.1473,9.9017,0.7479,0.6910,0.9213,0.3989,0.4551,0.6910,1.3708,10.9691,0.7333,14,208.8
raw_qar_dual_gte_maxfeat,raw,qar,dual_gte_maxfeat,dual_maxfeat,0.8319,0.7005,0.9662,0.3333,0.4626,0.7307,1.0374,8.8387,0.7660,0.6910,0.9382,0.3820,0.4270,0.7472,1.2303,9.8876,0.7443,7,156.8
raw_qar_cross_mbert_maxfeat,raw,qar,cross_mbert_maxfeat,cross_maxfeat,0.7407,0.6147,0.9444,0.4469,0.4263,0.6715,1.2705,10.8537,0.6138,0.6685,0.8764,0.4944,0.4494,0.6966,1.5730,12.5515,0.6518,16,141.1
raw_qar_cross_xlmr_maxfeat,raw,qar,cross_xlmr_maxfeat,cross_maxfeat,0.8291,0.6848,0.9758,0.3406,0.4891,0.7415,0.9903,8.6212,0.7310,0.6966,0.9213,0.3989,0.5225,0.7416,1.2584,10.2200,0.7228,18,149.3
raw_qar_cross_gte_maxfeat,raw,qar,cross_gte_maxfeat,cross_maxfeat,0.7727,0.6256,0.9589,0.4179,0.3563,0.6667,1.2947,11.2986,0.7060,0.6124,0.9382,0.4663,0.3876,0.6573,1.5056,12.3876,0.6968,9,115.3
clean_ra_dual_mbert_maxfeat,clean,ra,dual_mbert_maxfeat,dual_maxfeat,0.5417,0.4384,0.9010,0.6667,0.2246,0.5121,1.9601,17.3552,0.5745,0.4775,0.8989,0.6292,0.2528,0.5674,1.9213,16.4687,0.4623,4,96.7
clean_ra_dual_xlmr_maxfeat,clean,ra,dual_xlmr_maxfeat,dual_maxfeat,0.7788,0.6244,0.9638,0.4167,0.3998,0.6836,1.2403,10.5507,0.6774,0.6573,0.9045,0.4551,0.4326,0.6742,1.5730,12.3689,0.6895,11,177.7
clean_ra_dual_gte_maxfeat,clean,ra,dual_gte_maxfeat,dual_maxfeat,0.8746,0.7343,0.9831,0.2826,0.5036,0.7947,0.8406,7.4569,0.8198,0.7584,0.9551,0.2978,0.5000,0.7584,1.0674,8.7921,0.7886,17,272.9
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.5898,0.5181,0.9046,0.5906,0.2995,0.5930,1.8128,15.3152,0.5672,0.5730,0.8596,0.5787,0.3371,0.6180,1.8596,15.0000,0.5346,16,139.1
clean_ra_cross_xlmr_maxfeat,clean,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8350,0.7041,0.9577,0.3406,0.4348,0.7150,1.1063,9.3531,0.7839,0.7135,0.9326,0.3708,0.5112,0.7191,1.2303,9.9204,0.7532,20,157.7
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.8262,0.6932,0.9614,0.3466,0.3998,0.7222,1.1244,9.6349,0.7670,0.6854,0.9213,0.3989,0.4270,0.7640,1.2753,10.1685,0.6972,10,124.9
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.5335,0.4143,0.9010,0.6908,0.1751,0.5121,2.0592,18.4262,0.5646,0.4719,0.8933,0.6348,0.1854,0.5618,2.0225,17.6859,0.4525,3,86.5
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8296,0.6715,0.9638,0.3659,0.3998,0.6920,1.1703,9.8845,0.7917,0.6910,0.9326,0.3764,0.4213,0.7247,1.3371,10.7257,0.7183,19,232.7
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.8643,0.7053,0.9807,0.3140,0.4372,0.7536,0.9758,8.4705,0.8002,0.7135,0.9438,0.3539,0.4607,0.7528,1.1573,9.5693,0.7648,11,207.1
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.3479,0.3249,0.8539,0.8309,0.1944,0.4022,2.2886,20.8507,0.3488,0.2921,0.8483,0.8596,0.1854,0.3820,2.3427,21.4814,0.2908,6,73.9
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.7924,0.6461,0.9614,0.3961,0.4360,0.6993,1.1606,9.9822,0.6826,0.6573,0.8989,0.4663,0.4607,0.7135,1.4382,11.5075,0.6958,14,132.5
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.7706,0.6389,0.9444,0.4191,0.3853,0.6763,1.3092,11.0571,0.7116,0.6461,0.9157,0.4551,0.3708,0.6798,1.5337,12.4017,0.6715,8,106.3
segment_ra_dual_mbert_maxfeat,segment,ra,dual_mbert_maxfeat,dual_maxfeat,0.4765,0.3333,0.9034,0.7705,0.1667,0.4746,2.1389,18.8468,0.4737,0.3483,0.8933,0.7584,0.1573,0.5506,2.1910,18.8610,0.4280,3,99.4
segment_ra_dual_xlmr_maxfeat,segment,ra,dual_xlmr_maxfeat,dual_maxfeat,0.8425,0.7017,0.9722,0.3273,0.4408,0.7802,0.9481,8.2709,0.7556,0.6685,0.9382,0.4045,0.4157,0.6966,1.3708,10.9129,0.7769,17,250.4
segment_ra_dual_gte_maxfeat,segment,ra,dual_gte_maxfeat,dual_maxfeat,0.8391,0.6739,0.9758,0.3502,0.4022,0.7283,1.0592,9.0410,0.7841,0.7022,0.9326,0.3708,0.4157,0.6910,1.2865,10.4401,0.7664,9,198.5
segment_ra_cross_mbert_maxfeat,segment,ra,cross_mbert_maxfeat,cross_maxfeat,0.3898,0.3321,0.8635,0.8128,0.1944,0.4118,2.2572,20.5548,0.4023,0.3315,0.8876,0.7921,0.1966,0.4213,2.2978,21.1537,0.2717,6,89.1
segment_ra_cross_xlmr_maxfeat,segment,ra,cross_xlmr_maxfeat,cross_maxfeat,0.8173,0.6944,0.9601,0.3478,0.4360,0.7246,1.0809,9.3230,0.7471,0.7079,0.9270,0.3876,0.4382,0.7022,1.2584,10.4822,0.7469,12,147.8
segment_ra_cross_gte_maxfeat,segment,ra,cross_gte_maxfeat,cross_maxfeat,0.8048,0.6727,0.9638,0.3647,0.4384,0.7246,1.0833,9.2092,0.7262,0.7079,0.9045,0.3989,0.3989,0.7472,1.3820,11.1142,0.7365,11,157.5
segment_qar_dual_mbert_maxfeat,segment,qar,dual_mbert_maxfeat,dual_maxfeat,0.5200,0.3104,0.9094,0.7826,0.1123,0.4831,2.1884,19.4015,0.5073,0.3371,0.8876,0.7753,0.1292,0.5056,2.2584,19.6335,0.4545,3,102.8
segment_qar_dual_xlmr_maxfeat,segment,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8336,0.6739,0.9686,0.3575,0.4577,0.7077,1.0676,9.1284,0.7704,0.7022,0.9326,0.3820,0.4944,0.6910,1.2753,10.1592,0.7598,13,214.1
