run_id,preprocess,input,model,family,train_qwk,train_accuracy,train_adjacent_accuracy,train_mae,train_raw_exact,train_raw_within1,train_raw_mae,train_pct_mae,test_qwk,test_accuracy,test_adjacent_accuracy,test_mae,test_raw_exact,test_raw_within1,test_raw_mae,test_pct_mae,val_qwk,best_epoch,seconds
clean_qar_bilstm_maxfeat,clean,qar,bilstm_maxfeat,bilstm_maxfeat,0.7947,0.6123,0.9589,0.4348,0.3225,0.6800,1.2669,10.8192,0.7268,0.6236,0.9157,0.4775,0.3539,0.6685,1.5056,12.1723,0.7510,,0.5
clean_qar_cross_gte_maxfeat,clean,qar,cross_gte_maxfeat,cross_maxfeat,0.7642,0.5616,0.9408,0.5036,0.3853,0.6763,1.3092,11.0571,0.6614,0.5787,0.8989,0.5618,0.3708,0.6798,1.5337,12.4017,0.6865,,0.5
clean_qar_cross_mbert_maxfeat,clean,qar,cross_mbert_maxfeat,cross_maxfeat,0.4205,0.3937,0.7391,0.8889,0.1944,0.4022,2.2886,20.8507,0.4422,0.4213,0.7360,0.8708,0.1854,0.3820,2.3427,21.4814,0.4111,,0.6
clean_qar_cross_xlmr_maxfeat,clean,qar,cross_xlmr_maxfeat,cross_maxfeat,0.7985,0.6534,0.9638,0.3877,0.4360,0.6993,1.1606,9.9822,0.7210,0.6685,0.9101,0.4326,0.4607,0.7135,1.4382,11.5075,0.7189,,0.5
clean_qar_dual_gte_maxfeat,clean,qar,dual_gte_maxfeat,dual_maxfeat,0.8618,0.6896,0.9795,0.3309,0.4372,0.7536,0.9758,8.4705,0.8057,0.7247,0.9438,0.3427,0.4607,0.7528,1.1573,9.5693,0.7729,,0.5
clean_qar_dual_mbert_maxfeat,clean,qar,dual_mbert_maxfeat,dual_maxfeat,0.5381,0.4493,0.7911,0.8031,0.1751,0.5121,2.0592,18.4262,0.5376,0.4831,0.7753,0.7978,0.1854,0.5618,2.0225,17.6859,0.5550,,0.5
clean_qar_dual_xlmr_maxfeat,clean,qar,dual_xlmr_maxfeat,dual_maxfeat,0.8126,0.6570,0.9601,0.3853,0.3998,0.6920,1.1703,9.8845,0.7715,0.6742,0.9270,0.4045,0.4213,0.7247,1.3371,10.7257,0.7359,,0.5
clean_ra_bilstm_maxfeat,clean,ra,bilstm_maxfeat,bilstm_maxfeat,0.8120,0.6389,0.9384,0.4251,0.4710,0.7500,0.9867,8.4853,0.7276,0.5899,0.8876,0.5393,0.4382,0.7135,1.4270,11.5543,0.6950,,0.4
clean_ra_cross_gte_maxfeat,clean,ra,cross_gte_maxfeat,cross_maxfeat,0.8152,0.6594,0.9710,0.3720,0.3998,0.7222,1.1244,9.6349,0.7638,0.6798,0.9270,0.3989,0.4270,0.7640,1.2753,10.1685,0.7322,,0.7
clean_ra_cross_mbert_maxfeat,clean,ra,cross_mbert_maxfeat,cross_maxfeat,0.6223,0.5024,0.8599,0.6751,0.2995,0.5930,1.8128,15.3152,0.5868,0.4831,0.8539,0.7247,0.3371,0.6180,1.8596,15.0000,0.6042,,0.6
